_id,createdAt,name,pollingStation,updatedAt
6028ccd0be48b504bc4f61b2,2021-02-14T07:10:08.528Z,K-Q,6028a2e1be48b504bc4f60f3,2021-02-14T07:10:08.528Z
6028ccd7be48b504bc4f61b3,2021-02-14T07:10:15.032Z,R-Z,6028a2e1be48b504bc4f60f3,2021-02-14T07:10:15.032Z
6028cce4be48b504bc4f61b4,2021-02-14T07:10:28.308Z,A-C,6028a2f7be48b504bc4f60f4,2021-02-14T07:10:28.308Z
6028cce8be48b504bc4f61b5,2021-02-14T07:10:32.779Z,D-G,6028a2f7be48b504bc4f60f4,2021-02-14T07:10:32.779Z
6028ccedbe48b504bc4f61b6,2021-02-14T07:10:37.791Z,H-K,6028a2f7be48b504bc4f60f4,2021-02-14T07:10:37.791Z
6028ccf4be48b504bc4f61b7,2021-02-14T07:10:44.306Z,L-Q,6028a2f7be48b504bc4f60f4,2021-02-14T07:10:44.306Z
6028ccf9be48b504bc4f61b8,2021-02-14T07:10:49.071Z,R-Z,6028a2f7be48b504bc4f60f4,2021-02-14T07:10:49.071Z
6028cd08be48b504bc4f61b9,2021-02-14T07:11:04.566Z,A-CI,6028a327be48b504bc4f60f5,2021-02-14T07:11:04.566Z
6028cd0ebe48b504bc4f61ba,2021-02-14T07:11:10.755Z,CL-E,6028a327be48b504bc4f60f5,2021-02-14T07:11:10.755Z
6028cd14be48b504bc4f61bb,2021-02-14T07:11:16.017Z,F-I,6028a327be48b504bc4f60f5,2021-02-14T07:11:16.017Z
6028cd1bbe48b504bc4f61bc,2021-02-14T07:11:23.411Z,J-K,6028a327be48b504bc4f60f5,2021-02-14T07:11:23.411Z
6028cd28be48b504bc4f61bd,2021-02-14T07:11:36.306Z,L-O,6028a33dbe48b504bc4f60f6,2021-02-14T07:11:36.306Z
6028cd30be48b504bc4f61be,2021-02-14T07:11:44.190Z,P-SP,6028a33dbe48b504bc4f60f6,2021-02-14T07:11:44.190Z
6028cd36be48b504bc4f61bf,2021-02-14T07:11:50.701Z,ST-Z,6028a33dbe48b504bc4f60f6,2021-02-14T07:11:50.701Z
6028cd47be48b504bc4f61c0,2021-02-14T07:12:07.308Z,A-D,6028a352be48b504bc4f60f7,2021-02-14T07:12:07.308Z
6028cd4dbe48b504bc4f61c1,2021-02-14T07:12:13.895Z,E-I,6028a352be48b504bc4f60f7,2021-02-14T07:12:13.895Z
6028cd54be48b504bc4f61c2,2021-02-14T07:12:20.105Z,J-M,6028a352be48b504bc4f60f7,2021-02-14T07:12:20.105Z
6028cd5abe48b504bc4f61c3,2021-02-14T07:12:26.078Z,N-Z,6028a352be48b504bc4f60f7,2021-02-14T07:12:26.078Z
6028cd78be48b504bc4f61c4,2021-02-14T07:12:56.645Z,A-B,6028a21dbe48b504bc4f60ee,2021-02-14T07:12:56.645Z
6028cd7ebe48b504bc4f61c5,2021-02-14T07:13:02.838Z,C-D,6028a21dbe48b504bc4f60ee,2021-02-14T07:13:02.838Z
6028cd86be48b504bc4f61c6,2021-02-14T07:13:10.722Z,E-G,6028a21dbe48b504bc4f60ee,2021-02-14T07:13:10.722Z
6028cd8dbe48b504bc4f61c7,2021-02-14T07:13:17.929Z,H-JOR,6028a21dbe48b504bc4f60ee,2021-02-14T07:13:17.929Z
6028cd97be48b504bc4f61c8,2021-02-14T07:13:27.041Z,JOS-L,6028a21dbe48b504bc4f60ee,2021-02-14T07:13:27.041Z
6028cd9dbe48b504bc4f61c9,2021-02-14T07:13:33.255Z,M-Q,6028a21dbe48b504bc4f60ee,2021-02-14T07:13:33.255Z
6028cda2be48b504bc4f61ca,2021-02-14T07:13:38.163Z,R-Z,6028a21dbe48b504bc4f60ee,2021-02-14T07:13:38.163Z
6028cdb6be48b504bc4f61cb,2021-02-14T07:13:58.118Z,A-B,6028a22bbe48b504bc4f60ef,2021-02-14T07:13:58.118Z
6028cdbabe48b504bc4f61cc,2021-02-14T07:14:02.497Z,C-D,6028a22bbe48b504bc4f60ef,2021-02-14T07:14:02.497Z
6028cdbfbe48b504bc4f61cd,2021-02-14T07:14:07.016Z,E-F,6028a22bbe48b504bc4f60ef,2021-02-14T07:14:07.016Z
6028cdc3be48b504bc4f61ce,2021-02-14T07:14:11.783Z,G-I,6028a22bbe48b504bc4f60ef,2021-02-14T07:14:11.783Z
6028cdc7be48b504bc4f61cf,2021-02-14T07:14:15.395Z,J,6028a22bbe48b504bc4f60ef,2021-02-14T07:14:15.395Z
6028cdcdbe48b504bc4f61d0,2021-02-14T07:14:21.531Z,K-MO,6028a22bbe48b504bc4f60ef,2021-02-14T07:14:21.531Z
6028cdd4be48b504bc4f61d1,2021-02-14T07:14:28.390Z,MU-R,6028a22bbe48b504bc4f60ef,2021-02-14T07:14:28.390Z
6028cdd6be48b504bc4f61d2,2021-02-14T07:14:30.990Z,S,6028a22bbe48b504bc4f60ef,2021-02-14T07:14:30.990Z
6028cddbbe48b504bc4f61d3,2021-02-14T07:14:35.886Z,T-Z,6028a22bbe48b504bc4f60ef,2021-02-14T07:14:35.886Z
6028cdf1be48b504bc4f61d4,2021-02-14T07:14:57.123Z,A-D,6028a259be48b504bc4f60f0,2021-02-14T07:14:57.123Z
